Cenario;Provedor;Selecao
FLAT;Google Cloud;0.249294
FLAT;Rackspace;0.250189
FLAT;Microsoft Azure;0.250049
FLAT;Amazon AWS;0.251401
FLAT;Google Cloud;0.248361
FLAT;Rackspace;0.249571
FLAT;Microsoft Azure;0.250777
FLAT;Amazon AWS;0.250788
FLAT;Google Cloud;0.248864
FLAT;Rackspace;0.250014
FLAT;Microsoft Azure;0.249367
FLAT;Amazon AWS;0.25347
FLAT;Google Cloud;0.247149
FLAT;Rackspace;0.250819
FLAT;Microsoft Azure;0.248332
FLAT;Amazon AWS;0.254129
FLAT;Google Cloud;0.246721
FLAT;Rackspace;0.249747
FLAT;Microsoft Azure;0.250769
FLAT;Amazon AWS;0.250369
FLAT;Google Cloud;0.249115
FLAT;Rackspace;0.250303
FLAT;Microsoft Azure;0.250272
FLAT;Amazon AWS;0.251024
FLAT;Google Cloud;0.248401
FLAT;Rackspace;0.248606
FLAT;Microsoft Azure;0.253817
FLAT;Amazon AWS;0.245501
FLAT;Google Cloud;0.252076
FLAT;Rackspace;0.249756
FLAT;Microsoft Azure;0.254637
FLAT;Amazon AWS;0.241672
FLAT;Google Cloud;0.253935
FLAT;Rackspace;0.250094
FLAT;Microsoft Azure;0.249777
FLAT;Amazon AWS;0.25207
FLAT;Google Cloud;0.248059
FLAT;Rackspace;0.250947
FLAT;Microsoft Azure;0.248907
FLAT;Amazon AWS;0.253254
FLAT;Google Cloud;0.246892
FLAT;Rackspace;0.246523
FLAT;Microsoft Azure;0.257869
FLAT;Amazon AWS;0.240096
FLAT;Google Cloud;0.255513
FLAT;Rackspace;0.248683
FLAT;Microsoft Azure;0.251648
FLAT;Amazon AWS;0.250447
FLAT;Google Cloud;0.249222
FLAT;Rackspace;0.250343
FLAT;Microsoft Azure;0.250392
FLAT;Amazon AWS;0.249979
FLAT;Google Cloud;0.249286
FLAT;Rackspace;0.249397
FLAT;Microsoft Azure;0.251656
FLAT;Amazon AWS;0.24887
FLAT;Google Cloud;0.250076
FLAT;Rackspace;0.24919
FLAT;Microsoft Azure;0.251451
FLAT;Amazon AWS;0.249424
FLAT;Google Cloud;0.249935
FLAT;Rackspace;0.250813
FLAT;Microsoft Azure;0.249516
FLAT;Amazon AWS;0.251397
FLAT;Google Cloud;0.248274
FLAT;Rackspace;0.244988
FLAT;Microsoft Azure;0.259131
FLAT;Amazon AWS;0.240152
FLAT;Google Cloud;0.255729
FLAT;Rackspace;0.25082
FLAT;Microsoft Azure;0.249426
FLAT;Amazon AWS;0.251808
FLAT;Google Cloud;0.247946
